year,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,population
1900,,,,,,2129124
1901,,,,,,2190086
1902,,,,,,2249181
1903,,,,,,2306249
1904,,,,,,2364764
1905,,,,,,2424761
1906,,,,,,2486279
1907,,,,,,2549355
1908,,,,,,2614029
1909,,,,,,2677183
1910,,,,,,2738718
1911,,,,,,2798533
1912,,,,,,2856522
1913,,,,,,2912576
1914,,,,,,2969729
1915,,,,,,3028000
1916,,,,,,3087412
1917,,,,,,3147988
1918,,,,,,3212623
1919,,,,,,3279664
1920,,,,,,3349182
1921,,,,,,3421253
1922,,,,,,3495955
1923,,,,,,3573367
1924,,,,,,3652493
1925,,,,,,3733371
1926,,,,,,3816040
1927,,,,,,3900540
1928,,,,,,3986910
1929,,,,,,4074267
1930,,,,,,4162611
1931,,,,,,4251945
1932,,,,,,4342271
1933,,,,,,4433590
1934,,,,,,4526829
1935,,,,,,4622029
1936,,,,,,4719231
1937,,,,,,4818477
1938,,,,,,4919810
1939,,,,,,5019176
1940,,,,,,5116462
1941,,,,,,5211554
1942,,,,,,5304334
1943,,,,,,5394679
1944,,,,,,5486564
1945,,,,,,5580013
1946,,,,,,5675054
1947,,,,,,5771714
1948,,,,,,5870020
1949,,,,,,5982554
1950,,,,,,6109902
1951,,,,,,6271228
1952,,,,,,6449609
1953,,,,,,6639418
1954,,,,,,6836639
1955,,,,,,7038910
1956,,,,,,7245680
1957,,,,,,7458015
1958,,,,,,7678381
1959,,,,,,7910188
1960,,,,,,8156342
1961,,,,,,8417821
1962,,,,,,8692337
1963,,,,,,8973791
1964,,,,,,9253827
1965,,94.362,,27.293,2864.913,9526558
1966,16.616,94.305,4.535,31.828,3251.03,9790083
1967,0.868,94.097,0.276,32.104,3195.605,10046321
1968,1.37,93.578,0.44,32.544,3160.21,10297983
1969,3.277,92.268,1.067,33.61,3185.994,10549395
1970,10.559,91.755,3.549,37.159,3439.367,10804131
1971,12.243,93.487,4.55,41.709,3770.322,11062434
1972,13.312,93.648,5.552,47.261,4173.431,11324277
1973,8.292,94.327,3.919,51.18,4414.88,11592638
1974,2.124,94.925,1.087,52.267,4402.873,11871102
1975,4.065,95.118,2.124,54.391,4472.169,12162189
1976,11.955,95.855,6.502,60.894,4883.736,12468688
1977,12.412,96.974,7.558,68.452,5351.836,12790313
1978,37.814,97.407,25.884,94.336,7188.69,13122833
1979,22.266,97.411,21.005,115.341,8569.136,13460035
1980,7.068,96.929,8.152,123.493,8950.013,13798094
1981,2.301,96.681,2.841,126.334,8938.299,14134060
1982,8.19,97.037,10.347,136.682,9445.084,14471215
1983,14.848,96.998,20.295,156.977,10592.62,14819430
1984,4.734,94.49,7.431,164.408,10821.778,15192300
1985,-0.552,93.983,-0.907,163.501,10481.539,15598924
1986,12.291,94.131,20.096,183.597,11443.527,16043736
1987,2.05,93.143,3.764,187.361,11340.098,16522004
1988,5.463,92.547,10.235,197.596,11607.964,17022470
1989,13.218,93.831,26.119,223.715,12762.617,17528960
1990,10.044,95.654,22.47,246.185,13654.334,18029824
1991,21.573,96.034,53.109,299.294,16160.633,18519942
1992,8.589,96.466,25.705,324.999,17102.81,19002660
1993,3.963,96.163,12.881,337.88,17340.609,19484900
1994,8.185,95.305,27.656,365.536,18297.367,19977508
1995,4.644,95.68,16.977,382.513,18670.465,20487604
1996,12.913,96.774,49.393,431.906,20549.724,21017620
1997,17.55,97.768,75.799,507.705,23545.439,21562790
1998,-7.346,97.436,-37.294,470.411,21271.476,22114646
1999,11.737,96.162,55.212,525.623,23194.742,22661292
2000,12.013,96.554,63.146,588.768,25384.237,23194252
2001,1.177,97.016,6.93,595.698,25125.293,23709116
2002,7.559,97.57,45.031,640.729,26467.231,24208390
2003,9.122,97.899,58.447,699.176,28308.059,24698820
2004,6.506,97.813,45.492,744.667,29561.264,25190646
2005,6.687,97.814,49.792,794.46,30924.126,25690616
2006,3.885,97.791,30.862,825.322,31498.478,26201954
2007,6.872,97.978,56.715,882.037,33009.911,26720368
2008,3.063,97.511,27.018,909.055,33376.962,27236004
2009,-3.04,97.588,-27.64,881.416,31779.857,27735038
2010,3.354,97.865,29.565,910.98,32295.067,28208028
2011,3.074,97.392,28.008,938.988,32773.356,28650962
2012,7.197,97.195,67.577,1006.565,34627.725,29068190
2013,4.187,96.719,42.145,1048.711,35587.004,29468924
2014,0.554,96.354,5.806,1054.517,35307.551,29866606
2015,1.263,96.187,13.322,1067.839,35276.019,30270964
2016,4.046,95.074,43.208,1111.047,36208.564,30684652
2017,0.042,93.738,0.466,1111.513,35734.617,31104654
2018,1.358,93.725,15.098,1126.611,35733.631,31528034
2019,2.536,93.858,28.569,1155.18,36156.104,31949790
2020,-6.521,94.525,-75.332,1079.848,33363.65,32365998
