Region,Fresh,Milk,Grocery,Channel,Frozen,Detergents_Paper,Delicassen
Other,12669,9656,7561,Retail,214,2674,1338
Other,7057,9810,9568,Retail,1762,3293,1776
Other,6353,8808,7684,Retail,2405,3516,7844
Other,13265,1196,4221,Horeca,6404,507,1788
Other,22615,5410,7198,Retail,3915,1777,5185
Other,9413,8259,5126,Retail,666,1795,1451
Other,12126,3199,6975,Retail,480,3140,545
Other,7579,4956,9426,Retail,1669,3321,2566
Other,5963,3648,6192,Horeca,425,1716,750
Other,6006,11093,18881,Retail,1159,7425,2098
Other,3366,5403,12974,Retail,4400,5977,1744
Other,13146,1124,4523,Retail,1420,549,497
Other,31714,12319,11757,Retail,287,3881,2931
Other,21217,6208,14982,Retail,3095,6707,602
Other,24653,9465,12091,Retail,294,5058,2168
Other,10253,1114,3821,Horeca,397,964,412
Other,1020,8816,12121,Retail,134,4508,1080
Other,5876,6157,2933,Horeca,839,370,4478
Other,18601,6327,10099,Retail,2205,2767,3181
Other,7780,2495,9464,Horeca,669,2518,501
Other,17546,4519,4602,Retail,1066,2259,2124
Other,5567,871,2010,Horeca,3383,375,569
Other,31276,1917,4469,Horeca,9408,2381,4334
Other,26373,36423,22019,Retail,5154,4337,16523
Other,22647,9776,13792,Retail,2915,4482,5778
Other,16165,4230,7595,Retail,201,4003,57
Other,9898,961,2861,Horeca,3151,242,833
Other,14276,803,3045,Horeca,485,100,518
Other,4113,20484,25957,Retail,1158,8604,5206
Other,43088,2100,2609,Horeca,1200,1107,823
Other,18815,3610,11107,Horeca,1148,2134,2963
Other,2612,4339,3133,Horeca,2088,820,985
Other,21632,1318,2886,Horeca,266,918,405
Other,29729,4786,7326,Horeca,6130,361,1083
Other,1502,1979,2262,Horeca,425,483,395
Other,688,5491,11091,Retail,833,4239,436
Other,29955,4362,5428,Horeca,1729,862,4626
Other,15168,10556,12477,Retail,1920,6506,714
Other,4591,15729,16709,Retail,33,6956,433
Other,56159,555,902,Horeca,10002,212,2916
Other,24025,4332,4757,Horeca,9510,1145,5864
Other,19176,3065,5956,Horeca,2033,2575,2802
Other,10850,7555,14961,Retail,188,6899,46
Other,630,11095,23998,Retail,787,9529,72
Other,9670,7027,10471,Retail,541,4618,65
Other,5181,22044,21531,Retail,1740,7353,4985
Other,3103,14069,21955,Retail,1668,6792,1452
Other,44466,54259,55571,Retail,7782,24171,6465
Other,11519,6152,10868,Retail,584,5121,1476
Other,4967,21412,28921,Retail,1798,13583,1163
Other,6269,1095,1980,Horeca,3860,609,2162
Other,3347,4051,6996,Horeca,239,1538,301
Other,40721,3916,5876,Retail,532,2587,1278
Other,491,10473,11532,Retail,744,5611,224
Other,27329,1449,1947,Horeca,2436,204,1333
Other,5264,3683,5005,Horeca,1057,2024,1130
Other,4098,29892,26866,Retail,2616,17740,1340
Other,5417,9933,10487,Retail,38,7572,1282
Other,13779,1970,1648,Horeca,596,227,436
Other,6137,5360,8040,Horeca,129,3084,1603
Other,8590,3045,7854,Retail,96,4095,225
Other,35942,38369,59598,Retail,3254,26701,2017
Other,7823,6245,6544,Retail,4154,4074,964
