Gender,Marital Status,State or Province,Product Category
F,S,CA,Snack Foods
M,M,CA,Vegetables
F,M,WA,Snack Foods
M,M,OR,Candy
F,S,CA,Carbonated Beverages
F,M,CA,Side Dishes
M,S,OR,Breakfast Foods
F,M,WA,Canned Soup
M,M,WA,Cleaning Supplies
M,S,CA,Pain Relievers
F,M,CA,Snack Foods
M,M,CA,Baking Goods
M,S,WA,Canned Tuna
F,M,WA,Plastic Products
M,S,OR,Fruit
M,M,OR,Hygiene
F,S,WA,Meat
F,S,CA,Snack Foods
F,M,WA,Dairy
F,S,CA,Drinks
M,M,CA,Magazines
F,S,CA,Fruit
M,S,OR,Candy
F,M,OR,Meat
F,M,CA,Beer and Wine
M,M,CA,Fruit
F,M,CA,Baking Goods
M,S,CA,Hardware
M,S,OR,Fruit
M,M,OR,Meat
F,S,CA,Pain Relievers
M,M,CA,Paper Products
M,M,WA,Seafood
F,S,CA,Vegetables
F,M,OR,Electrical
M,M,CA,Fruit
F,M,OR,Vegetables
M,M,OR,Bathroom Products
F,S,CA,Electrical
M,M,CA,Dairy
M,S,WA,Vegetables
F,S,WA,Kitchen Products
M,S,WA,Side Dishes
F,M,WA,Snack Foods
F,M,WA,Bread
F,S,WA,Hygiene
F,M,WA,Kitchen Products
F,M,OR,Dairy
F,M,CA,Baking Goods
F,M,OR,Bathroom Products
F,S,OR,Baking Goods
M,S,WA,Vegetables
F,S,WA,Meat
F,S,OR,Vegetables
M,M,CA,Meat
M,S,OR,Hardware
F,M,WA,Plastic Products
F,M,OR,Dairy
M,S,OR,Specialty
F,M,OR,Dairy
F,M,WA,Vegetables
M,M,CA,Baking Goods
M,S,CA,Canned Sardines
F,S,WA,Fruit
M,M,WA,Bread
M,M,WA,Miscellaneous
F,S,WA,Baking Goods
F,S,WA,Hygiene
F,M,OR,Snack Foods
F,M,OR,Bread
F,S,CA,Meat
M,M,CA,Hygiene
F,M,WA,Canned Sardines
M,M,CA,Canned Soup
M,S,WA,Fruit
M,M,WA,Cleaning Supplies
F,S,WA,Pizza
F,S,OR,Cleaning Supplies
F,S,OR,Decongestants
F,M,WA,Meat
M,M,CA,Vegetables
F,M,WA,Snack Foods
F,M,OR,Hardware
F,M,CA,Dairy
F,S,WA,Electrical
M,M,WA,Candy
F,M,CA,Starchy Foods
F,S,OR,Canned Tuna
F,S,OR,Snack Foods
F,M,CA,Dairy
M,S,CA,Hygiene
F,M,OR,Snack Foods
M,S,WA,Snack Foods
F,S,CA,Snack Foods
F,M,WA,Side Dishes
M,S,WA,Breakfast Foods
F,S,WA,Dairy
F,S,CA,Cleaning Supplies
M,M,WA,Pizza
F,S,WA,Miscellaneous
M,M,WA,Bathroom Products
M,M,OR,Paper Products
M,S,OR,Snack Foods
